Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Is_Partnered,Education_Level,Tenure_days,Age,TotalMntSpent,Age_group,Is_Partnered_num,Cluster
1966,Master,Together,49618.0,1,1,2013-01-26,77,80,3,26,4,2,14,4,3,1,3,7,0,0,0,0,0,0,0,Partnered,Postgraduate,519,48,129,Senior Adult (>45),1,0
1986,Master,Single,21888.0,1,0,2012-12-29,15,88,10,46,2,3,64,4,5,1,2,10,0,0,0,0,0,0,1,NotPartnered,Postgraduate,547,28,213,Young Adult (<30),0,1
1973,Graduation,Widow,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,NotPartnered,Bachelors,138,41,67,Adult (30-45),0,2
1956,Graduation,Divorced,26150.0,2,1,2013-03-11,61,5,1,13,3,5,1,1,1,0,3,7,0,0,0,0,0,0,0,NotPartnered,Bachelors,475,58,28,Senior Adult (>45),0,0
1975,Basic,Married,30801.0,0,1,2012-10-26,23,8,4,5,15,2,11,2,1,0,3,7,0,0,0,0,0,0,0,Partnered,Low_Level,611,39,45,Adult (30-45),1,2
1965,Graduation,Married,81168.0,0,0,2014-05-07,84,410,0,592,147,22,22,1,6,4,7,3,0,0,0,1,0,0,0,Partnered,Bachelors,53,49,1193,Senior Adult (>45),1,3
1969,Master,Single,26877.0,0,0,2013-08-19,74,101,13,76,20,18,40,2,3,1,6,6,0,0,0,0,0,0,0,NotPartnered,Postgraduate,314,45,268,Senior Adult (>45),0,1
1944,Master,Widow,45006.0,0,0,2013-07-18,90,162,25,53,16,0,10,1,3,1,7,3,0,0,0,0,0,0,0,NotPartnered,Postgraduate,346,70,266,Senior Adult (>45),0,2
1973,Basic,Married,18978.0,1,0,2012-12-11,41,2,8,1,4,7,15,1,1,0,3,8,0,0,0,0,0,0,0,Partnered,Low_Level,565,41,37,Adult (30-45),1,1
1967,Graduation,Married,22574.0,2,1,2013-10-28,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0,Partnered,Bachelors,244,47,37,Senior Adult (>45),1,0
1969,PhD,Single,48240.0,0,0,2012-11-09,73,389,91,248,64,49,41,3,6,3,13,5,0,0,0,0,0,0,1,NotPartnered,Postgraduate,597,45,882,Senior Adult (>45),0,3
1974,Graduation,Married,45837.0,1,1,2013-07-26,88,215,13,87,17,17,24,5,6,2,5,7,0,0,0,0,0,0,0,Partnered,Bachelors,338,40,373,Adult (30-45),1,0
1965,Master,Single,35791.0,2,1,2013-05-06,94,27,0,5,0,0,3,2,1,0,3,8,0,0,0,0,0,0,0,NotPartnered,Postgraduate,419,49,35,Senior Adult (>45),0,0
1976,PhD,Together,162397.0,1,1,2013-06-03,31,85,1,16,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0,Partnered,Postgraduate,391,38,107,Adult (30-45),1,3
1978,Graduation,Widow,54162.0,1,1,2013-03-18,31,5,6,10,6,5,10,1,1,0,3,4,0,0,0,0,0,0,0,NotPartnered,Bachelors,468,36,42,Adult (30-45),0,0
1960,Master,Married,30522.0,0,1,2012-08-17,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,0,Partnered,Postgraduate,681,54,326,Senior Adult (>45),1,2
1961,PhD,Married,54456.0,0,1,2013-07-11,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,Partnered,Postgraduate,353,53,404,Senior Adult (>45),1,2
1971,Graduation,Single,31632.0,0,0,2013-07-14,92,17,8,12,11,15,32,1,2,1,2,7,0,0,0,0,0,0,0,NotPartnered,Bachelors,350,43,95,Adult (30-45),0,1
1949,Graduation,Widow,72298.0,0,0,2014-03-10,52,625,35,169,58,17,35,1,4,3,6,1,0,1,1,0,0,0,0,NotPartnered,Bachelors,111,65,939,Senior Adult (>45),0,3
1978,2n Cycle,Single,36975.0,1,0,2013-12-28,50,10,6,11,0,4,2,1,1,0,3,7,0,0,0,0,0,0,0,NotPartnered,Postgraduate,183,36,33,Adult (30-45),0,1
1955,2n Cycle,Married,72635.0,0,0,2013-06-03,54,390,22,323,104,35,107,1,6,8,6,3,0,0,0,1,0,0,0,Partnered,Postgraduate,391,59,981,Senior Adult (>45),1,3
1976,Graduation,Married,13624.0,1,0,2013-01-20,93,10,2,15,2,1,6,2,2,0,3,6,0,0,0,0,0,0,0,Partnered,Bachelors,525,38,36,Adult (30-45),1,1
1975,Graduation,Single,84196.0,0,1,2013-06-03,56,215,63,507,231,31,190,1,8,4,7,3,0,0,0,0,0,0,0,NotPartnered,Bachelors,391,39,1237,Adult (30-45),0,3
1960,Graduation,Together,70971.0,0,1,2012-09-21,28,1001,17,572,93,125,17,7,11,11,5,7,0,0,0,0,0,0,1,Partnered,Bachelors,646,54,1825,Senior Adult (>45),1,2
1977,PhD,Divorced,34487.0,1,1,2012-09-06,94,19,18,33,24,1,8,3,3,0,3,9,0,0,0,0,0,0,0,NotPartnered,Postgraduate,661,37,103,Adult (30-45),0,0
1977,Graduation,Single,28769.0,1,0,2012-12-18,76,41,5,129,10,3,3,3,4,1,4,9,0,0,0,0,0,0,0,NotPartnered,Bachelors,558,37,191,Adult (30-45),0,1
1970,PhD,Married,69084.0,1,0,2013-11-19,43,1181,107,199,39,30,30,2,7,3,13,8,0,0,0,0,0,0,0,Partnered,Postgraduate,222,44,1586,Adult (30-45),1,3
1958,PhD,Together,65488.0,0,0,2014-06-13,46,603,45,207,36,18,54,1,3,4,6,1,0,0,0,0,0,0,0,Partnered,Postgraduate,16,56,963,Senior Adult (>45),1,3
1970,2n Cycle,Married,62466.0,0,1,2014-01-15,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,Partnered,Postgraduate,165,44,889,Adult (30-45),1,2
1960,2n Cycle,Single,32218.0,0,0,2014-02-15,27,10,24,15,13,1,30,1,2,1,3,7,1,0,0,0,0,0,1,NotPartnered,Postgraduate,134,54,93,Senior Adult (>45),0,1
1973,Graduation,Single,83917.0,0,0,2013-04-18,12,514,22,732,42,198,79,1,6,7,7,3,0,0,0,0,0,0,1,NotPartnered,Bachelors,437,41,1587,Adult (30-45),0,3
1962,Graduation,Divorced,46102.0,2,1,2014-03-10,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,NotPartnered,Bachelors,111,52,16,Senior Adult (>45),0,0
1952,Graduation,Single,84574.0,0,0,2013-06-04,72,387,20,713,38,54,163,1,9,11,11,5,0,0,0,0,0,0,0,NotPartnered,Bachelors,390,62,1375,Senior Adult (>45),0,3
1962,Graduation,Married,56181.0,0,1,2013-01-08,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,0,Partnered,Bachelors,537,52,393,Senior Adult (>45),1,2
1950,Master,Divorced,63120.0,0,1,2012-09-28,53,965,69,279,54,41,69,5,8,4,9,7,0,0,0,0,0,0,1,NotPartnered,Postgraduate,639,64,1477,Senior Adult (>45),0,2
1971,Graduation,Married,73691.0,0,1,2013-11-06,58,707,21,250,85,43,73,2,6,2,8,2,1,0,0,0,0,0,0,Partnered,Bachelors,235,43,1179,Adult (30-45),1,2
1960,Graduation,Together,63381.0,0,1,2012-10-05,78,571,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,0,Partnered,Bachelors,632,54,1005,Senior Adult (>45),1,2
1948,PhD,Together,76140.0,0,0,2014-05-13,57,586,66,653,17,0,26,1,5,9,6,2,0,0,0,0,0,0,0,Partnered,Postgraduate,47,66,1348,Senior Adult (>45),1,3
1959,PhD,Divorced,62859.0,0,1,2012-12-30,37,1063,89,102,16,12,25,4,9,4,6,6,0,0,0,0,0,0,0,NotPartnered,Postgraduate,546,55,1307,Senior Adult (>45),0,2
1964,Graduation,Single,45906.0,0,1,2013-05-07,20,305,3,27,4,3,144,2,5,4,4,5,1,0,0,0,0,0,0,NotPartnered,Bachelors,418,50,486,Senior Adult (>45),0,2
1947,Master,Together,77632.0,0,0,2013-03-10,73,1200,105,758,0,42,147,1,4,2,6,2,0,1,1,0,0,0,1,Partnered,Postgraduate,476,67,2252,Senior Adult (>45),1,3
1971,PhD,Married,46463.0,1,1,2013-08-18,56,163,2,40,8,11,11,7,3,1,6,6,0,0,0,0,0,0,0,Partnered,Postgraduate,315,43,235,Adult (30-45),1,0
1970,Graduation,Together,105471.0,0,0,2013-01-21,36,1009,181,104,202,21,207,0,9,8,13,3,0,0,1,1,0,0,1,Partnered,Bachelors,524,44,1724,Adult (30-45),1,3
1970,Master,Divorced,55282.0,1,0,2013-12-13,9,125,6,73,8,4,19,1,3,1,6,4,0,0,0,0,0,0,0,NotPartnered,Postgraduate,198,44,235,Adult (30-45),0,1
1977,Master,Married,78710.0,0,1,2014-05-23,42,721,0,152,119,50,50,3,7,6,12,4,0,0,0,0,0,0,0,Partnered,Postgraduate,37,37,1092,Adult (30-45),1,2
1958,Graduation,Together,66886.0,0,1,2013-09-16,28,315,4,62,41,31,146,2,7,1,7,5,0,0,0,0,0,0,0,Partnered,Bachelors,286,56,599,Senior Adult (>45),1,2
1960,Master,Single,98777.0,0,0,2014-02-17,23,1000,19,711,125,115,38,0,4,6,9,1,0,1,0,0,0,0,0,NotPartnered,Postgraduate,132,54,2008,Senior Adult (>45),0,3
1985,Graduation,Together,29103.0,1,0,2012-08-27,38,16,0,17,6,3,6,2,1,0,3,9,0,0,0,0,0,0,0,Partnered,Bachelors,671,29,48,Young Adult (<30),1,1
1974,Graduation,Married,67445.0,0,1,2012-08-12,63,757,80,217,29,80,11,5,9,6,12,6,0,0,0,0,0,0,0,Partnered,Bachelors,686,40,1174,Adult (30-45),1,2
1950,PhD,Together,50616.0,0,1,2014-04-13,71,30,2,25,0,1,9,1,1,1,4,2,0,0,0,0,0,0,0,Partnered,Postgraduate,77,64,67,Senior Adult (>45),1,2
1955,Graduation,Divorced,49431.0,0,1,2012-08-03,9,219,3,100,26,0,17,2,7,1,5,8,0,0,0,0,0,0,0,NotPartnered,Bachelors,695,59,365,Senior Adult (>45),0,2
1975,Graduation,Divorced,153924.0,0,0,2014-02-07,81,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NotPartnered,Bachelors,142,39,6,Adult (30-45),0,3
1953,Graduation,Together,61278.0,0,1,2014-01-04,87,111,3,28,2,6,15,2,3,1,4,6,0,0,0,0,0,0,0,Partnered,Bachelors,176,61,165,Senior Adult (>45),1,2
1958,2n Cycle,Together,26490.0,0,0,2012-09-22,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,0,Partnered,Postgraduate,645,56,210,Senior Adult (>45),1,1
1947,PhD,Together,73059.0,0,1,2013-08-31,36,410,112,420,0,82,71,1,9,3,13,4,0,0,0,0,0,0,0,Partnered,Postgraduate,302,67,1095,Senior Adult (>45),1,2
1966,PhD,Single,46734.0,1,2,2013-10-21,86,100,1,39,6,1,76,4,3,2,3,6,1,0,0,0,0,0,0,NotPartnered,Postgraduate,251,48,223,Senior Adult (>45),0,0
1963,Graduation,Together,56253.0,0,1,2012-12-07,83,509,0,65,7,11,5,4,7,2,9,6,0,0,0,0,0,0,0,Partnered,Bachelors,569,51,597,Senior Adult (>45),1,2
1985,Graduation,Married,19986.0,1,0,2013-11-14,74,3,6,5,0,2,6,1,0,0,3,7,0,0,0,0,0,0,0,Partnered,Bachelors,227,29,22,Young Adult (<30),1,1
1975,Graduation,Widow,58330.0,0,1,2013-12-25,87,445,53,213,104,98,151,1,6,4,13,4,0,0,0,0,0,0,0,NotPartnered,Bachelors,186,39,1064,Adult (30-45),0,2
1980,Basic,Married,25965.0,0,0,2012-09-07,29,2,2,11,41,7,11,1,2,0,3,8,0,0,0,0,0,0,0,Partnered,Low_Level,660,34,74,Adult (30-45),1,1
1956,Master,Together,14661.0,0,0,2013-01-01,88,4,1,11,6,2,2,1,1,0,3,6,0,0,0,0,0,0,0,Partnered,Postgraduate,544,58,26,Senior Adult (>45),1,1
1959,Graduation,Married,18690.0,0,0,2012-12-28,77,6,1,7,23,4,19,1,1,1,2,8,0,0,0,0,0,0,0,Partnered,Bachelors,548,55,60,Senior Adult (>45),1,1
1974,PhD,Together,45068.0,0,1,2013-05-16,25,14,0,3,0,0,3,1,1,0,2,7,0,0,0,0,0,0,0,Partnered,Postgraduate,409,40,20,Adult (30-45),1,2
1987,Basic,Single,21063.0,1,0,2013-09-25,34,1,10,11,19,3,15,2,2,0,3,6,0,0,0,0,0,0,0,NotPartnered,Low_Level,277,27,59,Young Adult (<30),0,1
1968,PhD,Married,29187.0,1,0,2013-05-09,43,26,0,6,0,0,2,1,1,0,3,8,0,0,0,0,0,0,0,Partnered,Postgraduate,416,46,34,Senior Adult (>45),1,1
1971,2n Cycle,Married,54690.0,1,1,2013-11-07,76,111,16,37,7,9,18,3,3,1,5,3,0,0,0,0,0,0,0,Partnered,Postgraduate,234,43,198,Adult (30-45),1,0
1964,PhD,Married,59304.0,0,1,2013-07-29,81,418,61,428,80,51,10,3,7,8,10,5,0,0,0,0,0,0,0,Partnered,Postgraduate,335,50,1048,Senior Adult (>45),1,2
1962,Master,Single,59247.0,0,2,2013-11-08,87,327,9,122,19,14,83,5,5,2,9,6,0,0,0,0,0,0,0,NotPartnered,Postgraduate,233,52,574,Senior Adult (>45),0,2
1970,Graduation,Widow,66731.0,0,1,2012-09-12,33,371,159,194,58,106,141,4,4,3,6,3,0,0,0,0,0,0,0,NotPartnered,Bachelors,655,44,1029,Adult (30-45),0,2
1980,Graduation,Married,77353.0,0,1,2013-12-16,38,275,59,107,69,101,59,2,6,4,8,4,0,0,0,0,0,0,0,Partnered,Bachelors,195,34,670,Adult (30-45),1,2
1975,PhD,Single,52614.0,0,1,2012-12-01,63,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,0,NotPartnered,Postgraduate,575,39,990,Adult (30-45),0,2
1974,Graduation,Married,26751.0,2,0,2014-05-22,26,1,1,5,0,3,1,1,1,0,2,8,0,0,0,0,0,0,0,Partnered,Bachelors,38,40,11,Adult (30-45),1,1
1963,PhD,Married,81300.0,0,1,2012-10-30,17,1004,12,145,32,12,36,3,10,3,5,5,0,0,0,1,0,0,1,Partnered,Postgraduate,607,51,1241,Senior Adult (>45),1,2
1979,Graduation,Single,70337.0,0,0,2014-01-02,75,187,81,149,25,43,91,1,2,2,12,1,0,0,0,0,0,0,0,NotPartnered,Bachelors,178,35,576,Adult (30-45),0,3
1985,2n Cycle,Married,36145.0,1,0,2013-06-16,13,56,4,76,17,1,18,4,4,1,3,9,1,0,0,0,0,0,1,Partnered,Postgraduate,378,29,172,Young Adult (<30),1,1
1980,PhD,Single,65295.0,0,0,2013-12-23,19,365,32,117,34,110,6,1,3,3,13,2,0,0,0,0,0,0,0,NotPartnered,Postgraduate,188,34,664,Adult (30-45),0,3
1963,Graduation,Divorced,68118.0,0,1,2013-10-18,51,595,23,123,10,23,154,2,8,9,4,6,0,0,0,0,0,0,0,NotPartnered,Bachelors,254,51,928,Senior Adult (>45),0,2
1967,Graduation,Divorced,68743.0,0,0,2012-08-30,81,1132,134,384,175,134,115,1,11,5,13,7,0,0,0,0,0,0,0,NotPartnered,Bachelors,668,47,2074,Senior Adult (>45),0,3
1982,2n Cycle,Together,41039.0,0,0,2013-07-25,32,34,11,137,179,61,45,1,8,1,5,8,0,0,0,0,0,0,0,Partnered,Postgraduate,339,32,467,Adult (30-45),1,1
1955,Graduation,Together,38946.0,0,1,2013-10-24,84,116,6,82,6,6,41,2,3,1,6,5,0,0,0,0,0,0,0,Partnered,Bachelors,248,59,257,Senior Adult (>45),1,2
1967,Graduation,Together,65777.0,0,0,2013-12-19,87,565,32,435,28,32,54,1,2,8,6,1,0,0,0,0,0,0,0,Partnered,Bachelors,192,47,1146,Senior Adult (>45),1,3
1976,PhD,Divorced,66476.0,0,1,2013-03-07,99,372,18,126,47,48,78,2,5,2,11,4,0,0,0,0,0,0,0,NotPartnered,Postgraduate,479,38,689,Adult (30-45),0,2
1972,PhD,Single,86857.0,0,0,2012-09-12,96,899,102,838,133,102,40,1,5,6,10,2,0,0,0,0,0,0,1,NotPartnered,Postgraduate,655,42,2114,Adult (30-45),0,3
1982,PhD,Married,160803.0,0,0,2012-08-04,21,55,16,1622,17,3,4,15,0,28,1,0,0,0,0,0,0,0,0,Partnered,Postgraduate,694,32,1717,Adult (30-45),1,3
1989,PhD,Together,77845.0,0,0,2014-05-16,40,760,40,480,0,40,26,1,3,5,12,1,0,0,1,1,0,0,0,Partnered,Postgraduate,44,25,1346,Young Adult (<30),1,3
1969,PhD,Together,69476.0,0,0,2013-09-30,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0,Partnered,Postgraduate,272,45,1044,Senior Adult (>45),1,3
1960,PhD,Divorced,50611.0,0,1,2012-10-04,98,459,0,24,6,0,4,6,4,5,7,6,0,1,0,0,0,0,1,NotPartnered,Postgraduate,633,54,493,Senior Adult (>45),0,2
1970,Graduation,Single,61209.0,0,0,2013-08-25,73,466,0,224,119,49,99,1,5,3,4,2,0,0,0,0,0,0,0,NotPartnered,Bachelors,308,44,957,Adult (30-45),0,3
1958,Master,Together,42315.0,0,1,2013-07-12,90,67,15,80,17,11,80,3,1,4,4,3,0,0,0,0,0,0,0,Partnered,Postgraduate,352,56,270,Senior Adult (>45),1,2
1952,Basic,Together,13084.0,0,0,2013-11-02,29,2,0,7,3,7,10,1,1,0,3,6,0,0,0,0,0,0,0,Partnered,Low_Level,239,62,29,Senior Adult (>45),1,1
1949,Master,Widow,47570.0,1,1,2013-05-29,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,0,1,NotPartnered,Postgraduate,396,65,121,Senior Adult (>45),0,0
1961,Master,Married,61923.0,0,2,2013-07-26,94,92,4,18,3,3,6,1,2,1,4,3,0,0,0,0,0,0,0,Partnered,Postgraduate,338,53,126,Senior Adult (>45),1,2
1995,Graduation,Single,34824.0,0,0,2014-03-26,65,4,2,11,2,0,4,1,1,0,2,6,0,0,0,0,0,0,0,NotPartnered,Bachelors,95,19,23,Young Adult (<30),0,1
1949,PhD,Single,26518.0,1,1,2013-04-08,33,20,1,28,3,3,2,3,2,0,3,8,0,0,0,0,0,0,1,NotPartnered,Postgraduate,447,65,57,Senior Adult (>45),0,0
1961,Graduation,Single,45938.0,0,0,2013-11-03,46,273,11,178,62,83,29,2,8,4,6,6,0,0,0,0,0,0,0,NotPartnered,Bachelors,238,53,636,Senior Adult (>45),0,2
1960,Graduation,Together,78468.0,0,0,2014-04-09,29,434,22,388,104,22,34,1,10,7,10,4,0,0,0,1,0,0,0,Partnered,Bachelors,81,54,1004,Senior Adult (>45),1,3
1973,Graduation,Divorced,78901.0,0,1,2013-09-17,99,321,11,309,33,26,34,3,9,3,5,4,0,0,0,0,0,0,0,NotPartnered,Bachelors,285,41,734,Adult (30-45),0,2
1978,Graduation,Married,71427.0,2,0,2014-03-12,26,212,123,177,15,64,23,2,8,2,8,4,0,0,0,0,0,0,0,Partnered,Bachelors,109,36,614,Adult (30-45),1,1
1978,Graduation,Divorced,71022.0,0,1,2014-02-11,30,909,12,278,0,12,242,3,5,2,11,8,1,0,0,0,0,0,0,NotPartnered,Bachelors,138,36,1453,Adult (30-45),0,3
1988,Master,Single,90247.0,0,0,2014-04-29,27,1184,32,352,21,16,16,1,3,4,7,1,0,1,1,1,0,0,1,NotPartnered,Postgraduate,61,26,1621,Young Adult (<30),0,3
1968,Master,Divorced,41335.0,1,0,2013-12-26,24,112,19,21,16,14,5,3,4,1,4,7,0,0,0,0,0,0,0,NotPartnered,Postgraduate,185,46,187,Senior Adult (>45),0,1
1986,Graduation,Married,71952.0,1,0,2013-01-10,93,656,80,455,52,107,93,2,8,4,8,4,1,0,1,0,0,0,0,Partnered,Bachelors,535,28,1443,Young Adult (<30),1,3
1970,PhD,Divorced,35682.0,1,0,2014-06-27,34,23,0,8,6,2,18,1,1,1,3,2,0,0,0,0,0,0,0,NotPartnered,Postgraduate,2,44,57,Adult (30-45),0,1
1951,Graduation,Divorced,43185.0,0,1,2013-04-10,88,537,6,42,16,6,30,2,9,3,6,8,0,0,0,0,0,0,0,NotPartnered,Bachelors,445,63,637,Senior Adult (>45),0,2
1948,PhD,Together,66375.0,0,1,2013-11-21,96,712,0,45,0,0,191,3,2,4,5,7,1,0,0,0,0,0,0,Partnered,Postgraduate,220,66,948,Senior Adult (>45),1,2
1971,Master,Married,35178.0,1,0,2013-01-10,10,23,1,13,2,2,18,1,1,1,2,7,1,0,0,0,0,0,1,Partnered,Postgraduate,535,43,59,Adult (30-45),1,1
1986,Graduation,Married,25252.0,1,0,2013-07-12,26,1,3,4,2,2,6,1,1,0,2,8,0,0,0,0,0,0,0,Partnered,Bachelors,352,28,18,Young Adult (<30),1,1
1965,Master,Single,55250.0,0,1,2012-10-21,49,664,58,83,32,0,66,4,7,5,10,5,0,0,0,0,0,0,0,NotPartnered,Postgraduate,616,49,903,Senior Adult (>45),0,2
1975,Graduation,Single,33249.0,1,0,2013-02-20,11,6,10,21,19,14,42,2,2,1,3,6,0,0,0,0,0,0,0,NotPartnered,Bachelors,494,39,112,Adult (30-45),0,1
1953,Graduation,Together,58398.0,0,0,2013-05-14,44,299,5,201,21,21,49,3,5,4,8,4,0,0,0,0,0,0,0,Partnered,Bachelors,411,61,596,Senior Adult (>45),1,2
1982,Graduation,Together,50272.0,1,0,2013-08-07,75,99,13,66,43,8,4,3,4,1,5,7,0,0,0,0,0,0,0,Partnered,Bachelors,326,32,233,Adult (30-45),1,1
1975,PhD,Married,76618.0,0,0,2012-12-07,64,749,40,294,121,160,147,1,3,2,5,1,0,0,0,0,0,0,0,Partnered,Postgraduate,569,39,1511,Adult (30-45),1,3
1960,2n Cycle,Divorced,87305.0,0,0,2012-09-23,19,345,25,501,63,138,80,1,5,3,8,2,0,0,1,0,0,0,1,NotPartnered,Postgraduate,644,54,1152,Senior Adult (>45),0,3
1978,Graduation,Together,25851.0,1,0,2013-02-11,45,9,4,18,7,5,5,2,2,0,3,7,0,0,0,0,0,0,0,Partnered,Bachelors,503,36,48,Adult (30-45),1,1
1970,Graduation,Divorced,58710.0,0,1,2013-03-31,77,440,81,368,0,122,174,6,11,5,9,6,0,0,0,0,0,0,0,NotPartnered,Bachelors,455,44,1185,Adult (30-45),0,2
1958,Graduation,Single,45160.0,1,1,2014-03-29,9,8,2,5,3,0,3,1,1,0,2,7,0,0,0,0,0,0,0,NotPartnered,Bachelors,92,56,21,Senior Adult (>45),0,0
1965,Master,Married,74806.0,0,1,2012-12-19,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,Partnered,Postgraduate,557,49,965,Senior Adult (>45),1,2
1954,Graduation,Married,59111.0,0,0,2013-05-02,90,524,0,134,28,28,155,1,11,1,8,7,0,0,0,0,0,0,0,Partnered,Bachelors,423,60,869,Senior Adult (>45),1,3
1984,PhD,Married,18988.0,1,0,2014-05-23,43,6,0,6,2,1,1,2,1,0,3,7,0,0,0,0,0,0,0,Partnered,Postgraduate,37,30,16,Adult (30-45),1,1
1965,Graduation,Married,72190.0,0,0,2013-02-13,79,597,166,597,172,166,249,1,5,6,4,3,0,0,0,0,0,0,0,Partnered,Bachelors,501,49,1947,Senior Adult (>45),1,3
1976,Graduation,Married,7500.0,1,0,2012-08-01,19,7,0,12,13,7,32,5,4,1,2,9,1,0,0,0,0,0,1,Partnered,Bachelors,697,38,71,Adult (30-45),1,1
1966,Graduation,Married,44794.0,0,1,2014-06-08,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0,Partnered,Bachelors,21,48,65,Senior Adult (>45),1,2
1955,Graduation,Married,80395.0,0,0,2013-11-23,62,445,25,706,80,76,48,1,6,5,12,2,0,0,0,1,0,0,0,Partnered,Bachelors,218,59,1380,Senior Adult (>45),1,3
1976,Master,Divorced,75012.0,0,0,2014-01-25,41,294,142,218,164,58,151,1,3,8,11,1,0,0,0,0,0,0,0,NotPartnered,Postgraduate,155,38,1027,Adult (30-45),0,3
1965,Master,Married,56962.0,2,1,2013-10-11,60,292,3,77,10,3,26,7,6,3,5,7,0,0,0,0,0,0,0,Partnered,Postgraduate,261,49,411,Senior Adult (>45),1,0
1991,Graduation,Together,89891.0,0,0,2013-04-15,17,412,22,132,59,28,183,1,11,6,8,4,0,0,1,0,0,0,0,Partnered,Bachelors,440,23,836,Young Adult (<30),1,3
1949,PhD,Divorced,35946.0,1,1,2013-09-27,24,8,0,3,0,0,0,1,0,0,3,5,0,0,0,0,0,0,0,NotPartnered,Postgraduate,275,65,11,Senior Adult (>45),0,0
1953,PhD,Together,53593.0,1,1,2012-08-07,60,349,4,78,6,0,43,8,7,2,6,8,0,0,0,0,0,0,0,Partnered,Postgraduate,691,61,480,Senior Adult (>45),1,0
1978,Graduation,Married,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,Partnered,Bachelors,382,36,606,Adult (30-45),1,0
1948,PhD,Divorced,45072.0,1,2,2013-10-16,74,144,2,99,7,2,30,5,6,1,4,8,0,0,0,0,0,0,0,NotPartnered,Postgraduate,256,66,284,Senior Adult (>45),0,0
1973,Graduation,Divorced,89694.0,1,1,2013-10-09,22,1126,28,211,37,28,42,3,4,3,4,5,0,1,1,1,0,0,0,NotPartnered,Bachelors,263,41,1472,Adult (30-45),0,3
1949,Graduation,Married,72025.0,0,0,2014-04-29,46,967,0,617,43,50,0,1,4,8,13,2,0,1,1,1,0,0,1,Partnered,Bachelors,61,65,1677,Senior Adult (>45),1,3
1973,Graduation,Married,67432.0,0,1,2013-03-29,69,432,79,341,177,136,170,2,8,5,4,4,0,0,0,0,0,0,0,Partnered,Bachelors,457,41,1335,Adult (30-45),1,2
1952,Master,Together,70545.0,0,1,2014-06-03,29,138,39,63,55,18,21,1,4,1,7,2,0,0,0,0,0,0,0,Partnered,Postgraduate,26,62,334,Senior Adult (>45),1,2
1989,Basic,Married,17487.0,1,0,2013-03-18,37,0,0,1,7,4,6,1,1,0,2,7,0,0,0,0,0,0,0,Partnered,Low_Level,468,25,18,Young Adult (<30),1,1
1969,Graduation,Together,62882.0,0,1,2012-08-09,26,509,133,497,78,24,97,2,7,5,6,4,0,0,0,0,0,0,0,Partnered,Bachelors,689,45,1338,Senior Adult (>45),1,2
1953,PhD,Single,64108.0,0,1,2013-03-23,8,948,10,86,13,21,21,4,6,9,11,5,0,0,0,0,0,0,0,NotPartnered,Postgraduate,463,61,1099,Senior Adult (>45),0,2
1956,Master,Together,34941.0,1,1,2013-03-06,26,39,2,25,4,3,24,2,3,0,3,8,0,0,0,0,0,0,0,Partnered,Postgraduate,480,58,97,Senior Adult (>45),1,0
1950,PhD,Single,48767.0,1,2,2014-01-01,79,28,1,21,3,0,10,3,2,1,3,5,0,0,0,0,0,0,0,NotPartnered,Postgraduate,179,64,63,Senior Adult (>45),0,0
1978,2n Cycle,Together,38702.0,1,0,2013-08-01,71,13,11,24,13,8,40,2,3,0,4,6,0,0,0,0,0,0,0,Partnered,Postgraduate,332,36,109,Adult (30-45),1,1
1964,Graduation,Married,82224.0,0,0,2014-01-25,83,307,26,360,138,31,40,1,6,9,5,3,0,0,0,1,0,0,0,Partnered,Bachelors,155,50,902,Senior Adult (>45),1,3
1952,Graduation,Together,83844.0,0,0,2013-05-12,57,901,31,345,75,31,191,1,4,4,11,1,0,0,1,0,0,0,0,Partnered,Bachelors,413,62,1574,Senior Adult (>45),1,3
